#drkcfile delivery-date activation-date delivery-mjd activation-mjd useafter useafter-mjd
39i1637pi_dkc.fits 2019-09-18 2019-09-18 58744.525694 58744.60625 2009-10-19 55123.076389
39i16251i_dkc.fits 2019-09-18 2019-09-18 58744.517361 58744.60625 2009-10-20 55124.0875
39i1628di_dkc.fits 2019-09-18 2019-09-18 58744.519444 58744.60625 2009-10-21 55125.027083
39i16359i_dkc.fits 2019-09-18 2019-09-18 58744.524306 58744.60625 2009-10-22 55126.202083
39i1618qi_dkc.fits 2019-09-18 2019-09-18 58744.5125 58744.60625 2009-10-25 55129.127083
39i1647pi_dkc.fits 2019-09-18 2019-09-18 58744.532639 58744.60625 2009-10-25 55129.976389
39i1628qi_dkc.fits 2019-09-18 2019-09-18 58744.519444 58744.60625 2009-10-27 55131.078472
39i1642di_dkc.fits 2019-09-18 2019-09-18 58744.529167 58744.60625 2009-10-28 55132.001389
39i1702ki_dkc.fits 2019-09-18 2019-09-18 58744.543056 58744.60625 2009-10-29 55133.020139
zcv1958ei_dkc.fits 2016-01-15 2016-02-23 57402.023611 57441.766667 2009-10-30 55134.009722
39i16444i_dkc.fits 2019-09-18 2019-09-18 58744.530556 58744.60625 2009-10-31 55135.090972
39i1625di_dkc.fits 2019-09-18 2019-09-18 58744.517361 58744.60625 2009-11-01 55136.022222
39i1622bi_dkc.fits 2019-09-18 2019-09-18 58744.515278 58744.60625 2009-11-02 55137.154167
zcv1958ii_dkc.fits 2016-01-15 2016-02-23 57402.023611 57441.766667 2009-11-03 55138.027778
39i16578i_dkc.fits 2019-09-18 2019-09-18 58744.539583 58744.60625 2009-11-03 55138.039583
39i1621gi_dkc.fits 2019-09-18 2019-09-18 58744.514583 58744.60625 2009-11-05 55140.622917
39i1651ti_dkc.fits 2019-09-18 2019-09-18 58744.536111 58744.60625 2009-11-06 55141.011806
39i1640ti_dkc.fits 2019-09-18 2019-09-18 58744.528472 58744.60625 2009-11-07 55142.05
39i17043i_dkc.fits 2019-09-18 2019-09-18 58744.544444 58744.60625 2009-11-08 55143.001389
39i16453i_dkc.fits 2019-09-18 2019-09-18 58744.53125 58744.60625 2009-11-09 55144.638889
zcv1958oi_dkc.fits 2016-01-15 2016-02-23 57402.024306 57441.766667 2009-11-10 55145.195833
39i16213i_dkc.fits 2019-09-18 2019-09-18 58744.514583 58744.60625 2009-11-10 55145.921528
39i1703gi_dkc.fits 2019-09-18 2019-09-18 58744.54375 58744.60625 2009-11-14 55149.215278
39i16232i_dkc.fits 2019-09-18 2019-09-18 58744.515972 58744.60625 2009-11-16 55151.336111
39i16227i_dkc.fits 2019-09-18 2019-09-18 58744.515278 58744.60625 2009-11-17 55152.427778
39i16420i_dkc.fits 2019-09-18 2019-09-18 58744.529167 58744.60625 2009-11-18 55153.184028
39i1631qi_dkc.fits 2019-09-18 2019-09-18 58744.521528 58744.60625 2009-11-20 55155.111111
zcv19590i_dkc.fits 2016-01-15 2016-02-23 57402.025 57441.766667 2009-11-21 55156.061111
39i16584i_dkc.fits 2019-09-18 2019-09-18 58744.540278 58744.60625 2009-11-21 55156.384722
39i16200i_dkc.fits 2019-09-18 2019-09-18 58744.513889 58744.60625 2009-11-22 55157.721528
39i1638hi_dkc.fits 2019-09-18 2019-09-18 58744.526389 58744.60625 2009-11-24 55159.213889
zcv19593i_dkc.fits 2016-01-15 2016-02-23 57402.025 57441.766667 2009-11-25 55160.049306
39i1631li_dkc.fits 2019-09-18 2019-09-18 58744.521528 58744.60625 2009-11-26 55161.051389
zcv19595i_dkc.fits 2016-01-15 2016-02-23 57402.025 57441.766667 2009-11-27 55162.399306
39i16593i_dkc.fits 2019-09-18 2019-09-18 58744.540972 58744.60625 2009-11-27 55162.411111
39i1626ci_dkc.fits 2019-09-18 2019-09-18 58744.518056 58744.60625 2009-11-28 55163.326389
39i1630mi_dkc.fits 2019-09-18 2019-09-18 58744.520833 58744.60625 2009-11-29 55164.025
39i1652pi_dkc.fits 2019-09-18 2019-09-18 58744.536111 58744.60625 2009-11-30 55165.09375
39i1700gi_dkc.fits 2019-09-18 2019-09-18 58744.541667 58744.60625 2009-12-01 55166.158333
39i1653oi_dkc.fits 2019-09-18 2019-09-18 58744.536806 58744.60625 2009-12-02 55167.173611
39i16398i_dkc.fits 2019-09-18 2019-09-18 58744.527083 58744.60625 2009-12-03 55168.201389
39i1630ii_dkc.fits 2019-09-18 2019-09-18 58744.520833 58744.60625 2009-12-04 55169.015972
39i16176i_dkc.fits 2019-09-18 2019-09-18 58744.511806 58744.60625 2009-12-05 55170.097917
39i1650hi_dkc.fits 2019-09-18 2019-09-18 58744.534722 58744.60625 2009-12-06 55171.041667
zcv2001ti_dkc.fits 2016-01-15 2016-02-23 57402.482639 57441.766667 2009-12-07 55172.227778
39i1640hi_dkc.fits 2019-09-18 2019-09-18 58744.527778 58744.60625 2009-12-07 55172.265972
39i1658ti_dkc.fits 2019-09-18 2019-09-18 58744.540972 58744.60625 2009-12-08 55173.036806
39i1636hi_dkc.fits 2019-09-18 2019-09-18 58744.525 58744.60625 2009-12-11 55176.825
zcv20022i_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-14 55179.251389
39i16195i_dkc.fits 2019-09-18 2019-09-18 58744.513194 58744.60625 2009-12-14 55179.251389
39i1633ki_dkc.fits 2019-09-18 2019-09-18 58744.522917 58744.60625 2009-12-16 55181.170139
39i16347i_dkc.fits 2019-09-18 2019-09-18 58744.523611 58744.60625 2009-12-16 55181.201389
39i1658ci_dkc.fits 2019-09-18 2019-09-18 58744.540278 58744.60625 2009-12-18 55183.05
39i16478i_dkc.fits 2019-09-18 2019-09-18 58744.532639 58744.60625 2009-12-19 55184.001389
39i1651gi_dkc.fits 2019-09-18 2019-09-18 58744.535417 58744.60625 2009-12-20 55185.188194
zcv20027i_dkc.fits 2016-01-15 2016-02-23 57402.482639 57441.766667 2009-12-20 55185.219444
39i16440i_dkc.fits 2019-09-18 2019-09-18 58744.530556 58744.60625 2009-12-21 55186.022222
39i16508i_dkc.fits 2019-09-18 2019-09-18 58744.534722 58744.60625 2009-12-22 55187.001389
zcv20028i_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-22 55187.001389
zcv20029i_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-23 55188.584722
39i1626ti_dkc.fits 2019-09-18 2019-09-18 58744.51875 58744.60625 2009-12-23 55188.584722
zcv2002bi_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-25 55190.115278
39i1621ti_dkc.fits 2019-09-18 2019-09-18 58744.515278 58744.60625 2009-12-25 55190.115278
zcv2002ai_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-25 55190.253472
39i16353i_dkc.fits 2019-09-18 2019-09-18 58744.524306 58744.60625 2009-12-25 55190.253472
zcv2002ci_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-27 55192.001389
39i1700ki_dkc.fits 2019-09-18 2019-09-18 58744.541667 58744.60625 2009-12-27 55192.001389
zcv2002di_dkc.fits 2016-01-15 2016-02-23 57402.483333 57441.766667 2009-12-28 55193.622917
39i1644ti_dkc.fits 2019-09-18 2019-09-18 58744.53125 58744.60625 2009-12-28 55193.642361
zcv2002ei_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-29 55194.444444
39i1647ci_dkc.fits 2019-09-18 2019-09-18 58744.532639 58744.60625 2009-12-29 55194.444444
zcv2002fi_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-30 55195.55
39i1634ki_dkc.fits 2019-09-18 2019-09-18 58744.523611 58744.60625 2009-12-30 55195.55
39i1657ci_dkc.fits 2019-09-18 2019-09-18 58744.539583 58744.60625 2009-12-31 55196.274306
zcv2002gi_dkc.fits 0000-00-00 0000-00-00 NA NA 2009-12-31 55196.274306
01j1656ti_dkc.fits 2016-01-19 2016-02-23 57406.506944 57441.766667 2010-01-01 55197.204167
39i1701si_dkc.fits 2019-09-18 2019-09-18 58744.543056 58744.60625 2010-01-01 55197.544444
zcv20052i_dkc.fits 2016-01-19 2016-02-23 57406.507639 57441.766667 2010-01-02 55198.347222
39i1701ji_dkc.fits 2019-09-18 2019-09-18 58744.542361 58744.60625 2010-01-03 55199.076389
39i17022i_dkc.fits 2019-09-18 2019-09-18 58744.543056 58744.60625 2010-01-06 55202.701389
zcv20053i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-06 55202.701389
zcv20054i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-08 55204.334028
39i1659ci_dkc.fits 2019-09-18 2019-09-18 58744.540972 58744.60625 2010-01-08 55204.334028
39i1655ki_dkc.fits 2019-09-18 2019-09-18 58744.538194 58744.60625 2010-01-09 55205.268056
zcv20055i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-09 55205.268056
39i1655pi_dkc.fits 2019-09-18 2019-09-18 58744.538194 58744.60625 2010-01-10 55206.118056
zcv20056i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-10 55206.118056
39i1624ei_dkc.fits 2019-09-18 2019-09-18 58744.516667 58744.60625 2010-01-11 55207.254167
zcv20057i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-11 55207.254167
39i1635mi_dkc.fits 2019-09-18 2019-09-18 58744.524306 58744.60625 2010-01-12 55208.134028
zcv1957hi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-12 55208.134028
zcv1957ii_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-13 55209.452083
39i16268i_dkc.fits 2019-09-18 2019-09-18 58744.518056 58744.60625 2010-01-13 55209.452083
39i1618ii_dkc.fits 2019-09-18 2019-09-18 58744.5125 58744.60625 2010-01-14 55210.1375
zcv19256i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-14 55210.1375
zcv19257i_dkc.fits 2016-01-08 2016-02-23 57395.56875 57441.766667 2010-01-15 55211.183333
zcv19258i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-16 55212.105556
39i17003i_dkc.fits 2019-09-18 2019-09-18 58744.541667 58744.60625 2010-01-16 55212.105556
zcv19259i_dkc.fits 2016-01-08 2016-02-23 57395.56875 57441.766667 2010-01-17 55213.652083
39i16404i_dkc.fits 2019-09-18 2019-09-18 58744.527778 58744.60625 2010-01-18 55214.034028
zcv1925ai_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-18 55214.447222
39i16369i_dkc.fits 2019-09-18 2019-09-18 58744.525 58744.60625 2010-01-18 55214.447222
39i1624ai_dkc.fits 2019-09-18 2019-09-18 58744.516667 58744.60625 2010-01-19 55215.445139
zcv1925bi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-19 55215.445139
zcv1925ci_dkc.fits 2016-01-08 2016-02-23 57395.56875 57441.766667 2010-01-20 55216.443056
zcv1925di_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-21 55217.372917
39i16374i_dkc.fits 2019-09-18 2019-09-18 58744.525694 58744.60625 2010-01-21 55217.372917
zcv1925ei_dkc.fits 2016-01-08 2016-02-23 57395.569444 57441.766667 2010-01-22 55218.134722
39i1632ci_dkc.fits 2019-09-18 2019-09-18 58744.522222 58744.60625 2010-01-22 55218.146528
zcv1925fi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-23 55219.430556
39i16557i_dkc.fits 2019-09-18 2019-09-18 58744.538194 58744.60625 2010-01-23 55219.430556
39i1652ci_dkc.fits 2019-09-18 2019-09-18 58744.536111 58744.60625 2010-01-24 55220.086111
zcv1925gi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-24 55220.086111
zcv1925hi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-25 55221.503472
39i1653si_dkc.fits 2019-09-18 2019-09-18 58744.5375 58744.60625 2010-01-25 55221.503472
zcv1925ii_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-26 55222.363889
39i1641gi_dkc.fits 2019-09-18 2019-09-18 58744.528472 58744.60625 2010-01-26 55222.363889
zcv1925ji_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-27 55223.360417
39i1645hi_dkc.fits 2019-09-18 2019-09-18 58744.53125 58744.60625 2010-01-27 55223.360417
39i16439i_dkc.fits 2019-09-18 2019-09-18 58744.529861 58744.60625 2010-01-28 55224.360417
zcv19549i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-28 55224.360417
39i1620pi_dkc.fits 2019-09-18 2019-09-18 58744.513889 58744.60625 2010-01-29 55225.069444
zcv1954ai_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-29 55225.069444
39i16324i_dkc.fits 2019-09-18 2019-09-18 58744.522222 58744.60625 2010-01-30 55226.4625
zcv1954bi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-30 55226.4625
39i16542i_dkc.fits 2019-09-18 2019-09-18 58744.5375 58744.60625 2010-01-31 55227.301389
zcv1954ci_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-01-31 55227.301389
zcv1925ki_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-01 55228.324306
39i1638ci_dkc.fits 2019-09-18 2019-09-18 58744.526389 58744.60625 2010-02-01 55228.324306
39i1657ki_dkc.fits 2019-09-18 2019-09-18 58744.539583 58744.60625 2010-02-04 55231.822222
zcv1925li_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-04 55231.822222
zcv1925mi_dkc.fits 2016-01-08 2016-02-23 57395.569444 57441.766667 2010-02-06 55233.979861
39i1655gi_dkc.fits 2019-09-18 2019-09-18 58744.538194 58744.60625 2010-02-06 55233.991667
39i1650li_dkc.fits 2019-09-18 2019-09-18 58744.534722 58744.60625 2010-02-07 55234.440278
zcv1925ni_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-07 55234.440278
39i1639pi_dkc.fits 2019-09-18 2019-09-18 58744.527083 58744.60625 2010-02-08 55235.251389
zcv1925oi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-08 55235.251389
39i16537i_dkc.fits 2019-09-18 2019-09-18 58744.536806 58744.60625 2010-02-09 55236.575694
zcv1925pi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-09 55236.575694
39i16390i_dkc.fits 2019-09-18 2019-09-18 58744.527083 58744.60625 2010-02-10 55237.504861
zcv1925qi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-10 55237.504861
39i1616ni_dkc.fits 2019-09-18 2019-09-18 58744.511111 58744.60625 2010-02-12 55239.015972
zcv1925si_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-12 55239.015972
zcv1925ri_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-12 55239.500694
39i1703ki_dkc.fits 2019-09-18 2019-09-18 58744.54375 58744.60625 2010-02-12 55239.500694
zcv1925ti_dkc.fits 2016-01-08 2016-02-23 57395.570139 57441.766667 2010-02-13 55240.29375
39i1652gi_dkc.fits 2019-09-18 2019-09-18 58744.536111 58744.60625 2010-02-13 55240.634722
39i1623ai_dkc.fits 2019-09-18 2019-09-18 58744.515972 58744.60625 2010-02-14 55241.21875
zcv19260i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-14 55241.21875
39i1617ri_dkc.fits 2019-09-18 2019-09-18 58744.511806 58744.60625 2010-02-15 55242.254167
zcv19261i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-15 55242.254167
zcv19262i_dkc.fits 2016-01-08 2016-02-23 57395.570833 57441.766667 2010-02-16 55243.215972
39i1651ki_dkc.fits 2019-09-18 2019-09-18 58744.535417 58744.60625 2010-02-16 55243.863889
zcv1928ii_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-17 55244.424306
39i1641ci_dkc.fits 2019-09-18 2019-09-18 58744.528472 58744.60625 2010-02-17 55244.424306
39i16208i_dkc.fits 2019-09-18 2019-09-18 58744.513889 58744.60625 2010-02-18 55245.420833
zcv1928ji_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-18 55245.420833
zcv1928ki_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-19 55246.386806
39i1628ii_dkc.fits 2019-09-18 2019-09-18 58744.519444 58744.60625 2010-02-19 55246.386806
zcv1928li_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-20 55247.600694
39i16473i_dkc.fits 2019-09-18 2019-09-18 58744.532639 58744.60625 2010-02-20 55247.600694
39i1700si_dkc.fits 2019-09-18 2019-09-18 58744.542361 58744.60625 2010-02-21 55248.48125
zcv1928mi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-21 55248.48125
zcv1928ni_dkc.fits 2016-01-11 2016-02-23 57398.595833 57441.766667 2010-02-22 55249.3
39i16260i_dkc.fits 2019-09-18 2019-09-18 58744.518056 58744.60625 2010-02-22 55249.311806
zcv1928oi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-23 55250.284722
39i16394i_dkc.fits 2019-09-18 2019-09-18 58744.527083 58744.60625 2010-02-23 55250.284722
39i1654ji_dkc.fits 2019-09-18 2019-09-18 58744.5375 58744.60625 2010-02-24 55251.274306
zcv1928pi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-24 55251.274306
39i1645ci_dkc.fits 2019-09-18 2019-09-18 58744.53125 58744.60625 2010-02-25 55252.205556
zcv1928qi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-02-25 55252.205556
zcv1928ri_dkc.fits 2016-01-11 2016-02-23 57398.596528 57441.766667 2010-02-26 55253.336806
39i16304i_dkc.fits 2019-09-18 2019-09-18 58744.520833 58744.60625 2010-02-26 55253.368056
zcv1928si_dkc.fits 2016-01-11 2016-02-23 57398.596528 57441.766667 2010-02-28 55255.331944
39i1618mi_dkc.fits 2019-09-18 2019-09-18 58744.5125 58744.60625 2010-02-28 55255.409722
zcv1928ti_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-02 55257.911111
39i1649ki_dkc.fits 2019-09-18 2019-09-18 58744.534028 58744.60625 2010-03-02 55257.911111
zcv19291i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-05 55260.272222
39i1616ai_dkc.fits 2019-09-18 2019-09-18 58744.511111 58744.60625 2010-03-05 55260.272222
zcv19290i_dkc.fits 2016-01-11 2016-02-23 57398.596528 57441.766667 2010-03-05 55260.403472
39i1616ri_dkc.fits 2019-09-18 2019-09-18 58744.511806 58744.60625 2010-03-05 55260.415278
zcv19292i_dkc.fits 2016-01-11 2016-02-23 57398.596528 57441.766667 2010-03-07 55262.151389
39i1647li_dkc.fits 2019-09-18 2019-09-18 58744.532639 58744.60625 2010-03-07 55262.179861
zcv19293i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-08 55263.704861
39i1645li_dkc.fits 2019-09-18 2019-09-18 58744.53125 58744.60625 2010-03-08 55263.704861
39i16414i_dkc.fits 2019-09-18 2019-09-18 58744.528472 58744.60625 2010-03-10 55265.170833
zcv19294i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-10 55265.170833
zcv19295i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-11 55266.18125
39i1629qi_dkc.fits 2019-09-18 2019-09-18 58744.520139 58744.60625 2010-03-11 55266.18125
39i1643hi_dkc.fits 2019-09-18 2019-09-18 58744.529861 58744.60625 2010-03-12 55267.007639
zcv19296i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-12 55267.007639
zcv19297i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-12 55267.3125
39i1630di_dkc.fits 2019-09-18 2019-09-18 58744.520833 58744.60625 2010-03-12 55267.3125
zcv19298i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-14 55269.079861
39i16264i_dkc.fits 2019-09-18 2019-09-18 58744.518056 58744.60625 2010-03-14 55269.079861
39i1622si_dkc.fits 2019-09-18 2019-09-18 58744.515972 58744.60625 2010-03-15 55270.072222
zcv19299i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-15 55270.072222
39i1644pi_dkc.fits 2019-09-18 2019-09-18 58744.530556 58744.60625 2010-03-16 55271.022222
39i1620di_dkc.fits 2019-09-18 2019-09-18 58744.513889 58744.60625 2010-03-16 55271.427778
39i1659gi_dkc.fits 2019-09-18 2019-09-18 58744.540972 58744.60625 2010-03-18 55273.05
zcv1929ai_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-18 55273.05
39i1625mi_dkc.fits 2019-09-18 2019-09-18 58744.517361 58744.60625 2010-03-18 55273.645139
zcv1929bi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-18 55273.645139
39i16480i_dkc.fits 2019-09-18 2019-09-18 58744.533333 58744.60625 2010-03-20 55275.182639
zcv1929ci_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-20 55275.182639
zcv19598i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-21 55276.047222
39i1640ci_dkc.fits 2019-09-18 2019-09-18 58744.527778 58744.60625 2010-03-21 55276.047222
39i1701fi_dkc.fits 2019-09-18 2019-09-18 58744.542361 58744.60625 2010-03-22 55277.126389
zcv19599i_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-22 55277.126389
39i1702si_dkc.fits 2019-09-18 2019-09-18 58744.54375 58744.60625 2010-03-23 55278.001389
zcv1959ai_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-23 55278.001389
39i16365i_dkc.fits 2019-09-18 2019-09-18 58744.525 58744.60625 2010-03-24 55279.001389
zcv1959bi_dkc.fits 0000-00-00 0000-00-00 NA NA 2010-03-24 55279.001389
